Frame:	Label:	Points:	Bounding Box ID:	Frame path: data2/omelette/
0	table	(0,112,101,142)	29	0.jpg
0	stove	(103,112,154,123)	30	0.jpg
0	pan	(189,116,68,69)	13	0.jpg
0	shell_egg	(59,206,21,23)	7	0.jpg
0	bowl	(58,108,44,40)	17	0.jpg
0	frying_pan	(98,122,83,71)	14	0.jpg
0	pan_handle	(206,76,25,54)	15	0.jpg
0	milk_carton	(0,220,16,34)	23	0.jpg
0	saltshaker	(14,166,43,56)	26	0.jpg
0	spoon	(28,178,22,34)	27	0.jpg
0	oil_bottle	(0,152,29,47)	24	0.jpg
0	frying_pan	(98,122,83,71)	14	0.jpg
1	table	(0,112,101,142)	29	1.jpg
1	stove	(103,112,154,123)	30	1.jpg
1	pan	(189,116,68,69)	13	1.jpg
1	shell_egg	(59,206,21,23)	7	1.jpg
1	bowl	(58,108,44,40)	17	1.jpg
1	frying_pan	(98,122,83,71)	14	1.jpg
1	pan_handle	(206,76,25,54)	15	1.jpg
1	milk_carton	(0,220,16,34)	23	1.jpg
1	saltshaker	(14,166,43,56)	26	1.jpg
1	spoon	(28,178,22,34)	27	1.jpg
1	oil_bottle	(0,152,29,47)	24	1.jpg
2	table	(0,112,101,142)	29	2.jpg
2	stove	(103,112,154,123)	30	2.jpg
2	pan	(189,116,68,69)	13	2.jpg
2	shell_egg	(59,206,21,23)	7	2.jpg
2	bowl	(58,108,44,40)	17	2.jpg
2	frying_pan	(98,122,83,71)	14	2.jpg
2	pan_handle	(206,76,25,54)	15	2.jpg
2	milk_carton	(0,220,16,34)	23	2.jpg
2	saltshaker	(14,166,43,56)	26	2.jpg
2	spoon	(28,178,22,34)	27	2.jpg
2	oil_bottle	(0,152,29,47)	24	2.jpg
3	table	(0,112,101,142)	29	3.jpg
3	stove	(103,112,154,123)	30	3.jpg
3	pan	(189,116,68,69)	13	3.jpg
3	shell_egg	(59,206,21,23)	7	3.jpg
3	bowl	(58,108,44,40)	17	3.jpg
3	frying_pan	(98,122,83,71)	14	3.jpg
3	pan_handle	(206,76,25,54)	15	3.jpg
3	milk_carton	(0,220,16,34)	23	3.jpg
3	saltshaker	(14,166,43,56)	26	3.jpg
3	spoon	(28,178,22,34)	27	3.jpg
3	oil_bottle	(0,152,29,47)	24	3.jpg
4	table	(0,112,101,142)	29	4.jpg
4	stove	(103,112,154,123)	30	4.jpg
4	pan	(189,116,68,69)	13	4.jpg
4	shell_egg	(59,206,21,23)	7	4.jpg
4	bowl	(58,108,44,40)	17	4.jpg
4	frying_pan	(98,122,83,71)	14	4.jpg
4	pan_handle	(206,76,25,54)	15	4.jpg
4	milk_carton	(0,220,16,34)	23	4.jpg
4	saltshaker	(14,166,43,56)	26	4.jpg
4	spoon	(28,178,22,34)	27	4.jpg
4	oil_bottle	(0,152,29,47)	24	4.jpg
5	table	(0,112,101,142)	29	5.jpg
5	stove	(103,112,154,123)	30	5.jpg
5	pan	(189,116,68,69)	13	5.jpg
5	shell_egg	(59,206,21,23)	7	5.jpg
5	bowl	(58,108,44,40)	17	5.jpg
5	frying_pan	(98,122,83,71)	14	5.jpg
5	pan_handle	(206,76,25,54)	15	5.jpg
5	milk_carton	(0,220,16,34)	23	5.jpg
5	saltshaker	(14,166,43,56)	26	5.jpg
5	spoon	(28,178,22,34)	27	5.jpg
5	oil_bottle	(0,152,29,47)	24	5.jpg
6	table	(0,112,101,142)	29	6.jpg
6	stove	(103,112,154,123)	30	6.jpg
6	pan	(189,116,68,69)	13	6.jpg
6	shell_egg	(59,206,21,23)	7	6.jpg
6	bowl	(58,108,44,40)	17	6.jpg
6	frying_pan	(98,122,83,71)	14	6.jpg
6	pan_handle	(206,76,25,54)	15	6.jpg
6	milk_carton	(0,220,16,34)	23	6.jpg
6	saltshaker	(14,166,43,56)	26	6.jpg
6	spoon	(28,178,22,34)	27	6.jpg
6	oil_bottle	(0,152,29,47)	24	6.jpg
7	table	(0,112,101,142)	29	7.jpg
7	stove	(103,112,154,123)	30	7.jpg
7	pan	(189,116,68,69)	13	7.jpg
7	shell_egg	(59,206,21,23)	7	7.jpg
7	bowl	(58,108,44,40)	17	7.jpg
7	frying_pan	(98,122,83,71)	14	7.jpg
7	pan_handle	(206,76,25,54)	15	7.jpg
7	milk_carton	(0,220,16,34)	23	7.jpg
7	saltshaker	(14,166,43,56)	26	7.jpg
7	spoon	(28,178,22,34)	27	7.jpg
7	oil_bottle	(0,152,29,47)	24	7.jpg
8	table	(0,112,101,142)	29	8.jpg
8	stove	(103,112,154,123)	30	8.jpg
8	pan	(189,116,68,69)	13	8.jpg
8	shell_egg	(59,206,21,23)	7	8.jpg
8	bowl	(58,108,44,40)	17	8.jpg
8	frying_pan	(98,122,83,71)	14	8.jpg
8	pan_handle	(206,76,25,54)	15	8.jpg
8	milk_carton	(0,220,16,34)	23	8.jpg
8	saltshaker	(14,166,43,56)	26	8.jpg
8	spoon	(28,178,22,34)	27	8.jpg
8	oil_bottle	(0,152,29,47)	24	8.jpg
9	table	(0,112,101,142)	29	9.jpg
9	stove	(103,112,154,123)	30	9.jpg
9	pan	(189,116,68,69)	13	9.jpg
