Frame:	Label:	Points:	Bounding Box ID:	Frame path: data1/scrambled-egg/
0	table	(0,112,101,142)	29	0.jpg
0	stove	(103,112,154,123)	30	0.jpg
0	ham	(59,172,33,37)	12	0.jpg
0	bowl	(61,108,42,42)	17	0.jpg
0	knife	(32,104,27,68)	22	0.jpg
0	cutting_board	(7,112,55,61)	19	0.jpg
0	shell_egg	(29,209,21,20)	7	0.jpg
0	frying_pan	(101,88,83,107)	14	0.jpg
0	saltshaker	(12,164,37,47)	26	0.jpg
1	table	(0,112,101,142)	29	1.jpg
1	stove	(103,112,154,123)	30	1.jpg
1	ham	(59,172,33,37)	12	1.jpg
1	bowl	(61,108,42,42)	17	1.jpg
1	knife	(32,104,27,68)	22	1.jpg
1	cutting_board	(7,112,55,61)	19	1.jpg
1	shell_egg	(29,209,21,20)	7	1.jpg
1	frying_pan	(101,88,83,107)	14	1.jpg
1	saltshaker	(12,164,37,47)	26	1.jpg
2	table	(0,112,101,142)	29	2.jpg
2	stove	(103,112,154,123)	30	2.jpg
2	ham	(59,172,33,37)	12	2.jpg
2	bowl	(61,108,42,42)	17	2.jpg
2	knife	(32,104,27,68)	22	2.jpg
2	cutting_board	(7,112,55,61)	19	2.jpg
2	shell_egg	(29,209,21,20)	7	2.jpg
2	frying_pan	(101,88,83,107)	14	2.jpg
2	saltshaker	(12,164,37,47)	26	2.jpg
3	table	(0,112,101,142)	29	3.jpg
3	stove	(103,112,154,123)	30	3.jpg
3	ham	(59,172,33,37)	12	3.jpg
3	bowl	(61,108,42,42)	17	3.jpg
3	knife	(32,104,27,68)	22	3.jpg
3	cutting_board	(7,112,55,61)	19	3.jpg
3	shell_egg	(29,209,21,20)	7	3.jpg
3	frying_pan	(101,88,83,107)	14	3.jpg
3	saltshaker	(12,164,37,47)	26	3.jpg
4	table	(0,112,101,142)	29	4.jpg
4	stove	(103,112,154,123)	30	4.jpg
4	ham	(59,172,33,37)	12	4.jpg
4	bowl	(61,108,42,42)	17	4.jpg
4	knife	(32,104,27,68)	22	4.jpg
4	cutting_board	(7,112,55,61)	19	4.jpg
4	shell_egg	(29,209,21,20)	7	4.jpg
4	frying_pan	(101,88,83,107)	14	4.jpg
4	saltshaker	(12,164,37,47)	26	4.jpg
5	table	(0,112,101,142)	29	5.jpg
5	stove	(103,112,154,123)	30	5.jpg
5	ham	(59,172,33,37)	12	5.jpg
5	bowl	(61,108,42,42)	17	5.jpg
5	knife	(32,104,27,68)	22	5.jpg
5	cutting_board	(7,112,55,61)	19	5.jpg
5	shell_egg	(29,209,21,20)	7	5.jpg
5	frying_pan	(101,88,83,107)	14	5.jpg
5	saltshaker	(12,164,37,47)	26	5.jpg
6	table	(0,112,101,142)	29	6.jpg
6	stove	(103,112,154,123)	30	6.jpg
6	ham	(59,172,33,37)	12	6.jpg
6	bowl	(61,108,42,42)	17	6.jpg
6	knife	(32,104,27,68)	22	6.jpg
6	cutting_board	(7,112,55,61)	19	6.jpg
6	shell_egg	(29,209,21,20)	7	6.jpg
6	frying_pan	(101,88,83,107)	14	6.jpg
6	saltshaker	(12,164,37,47)	26	6.jpg
7	table	(0,112,101,142)	29	7.jpg
7	stove	(103,112,154,123)	30	7.jpg
7	ham	(59,172,33,37)	12	7.jpg
7	bowl	(61,108,42,42)	17	7.jpg
7	knife	(32,104,27,68)	22	7.jpg
7	cutting_board	(7,112,55,61)	19	7.jpg
7	shell_egg	(29,209,21,20)	7	7.jpg
7	frying_pan	(101,88,83,107)	14	7.jpg
7	saltshaker	(12,164,37,47)	26	7.jpg
8	table	(0,112,101,142)	29	8.jpg
8	stove	(103,112,154,123)	30	8.jpg
8	ham	(59,172,33,37)	12	8.jpg
8	bowl	(61,108,42,42)	17	8.jpg
8	knife	(32,104,27,68)	22	8.jpg
8	cutting_board	(7,112,55,61)	19	8.jpg
8	shell_egg	(29,209,21,20)	7	8.jpg
8	frying_pan	(101,88,83,107)	14	8.jpg
8	saltshaker	(12,164,37,47)	26	8.jpg
9	table	(0,112,101,142)	29	9.jpg
9	stove	(103,112,154,123)	30	9.jpg
9	ham	(59,172,33,37)	12	9.jpg
9	bowl	(61,108,42,42)	17	9.jpg
9	knife	(32,104,27,68)	22	9.jpg
9	cutting_board	(7,112,55,61)	19	9.jpg
9	shell_egg	(29,209,21,20)	7	9.jpg
9	frying_pan	(101,88,83,107)	14	9.jpg
9	saltshaker	(12,164,37,47)	26	9.jpg
10	table	(0,112,101,142)	29	10.jpg
10	stove	(103,112,154,123)	30	10.jpg
10	ham	(59,172,33,37)	12	10.jpg
10	bowl	(61,108,42,42)	17	10.jpg
10	knife	(32,104,27,68)	22	10.jpg
10	cutting_board	(7,112,55,61)	19	10.jpg
10	shell_egg	(29,209,21,20)	7	10.jpg
10	frying_pan	(101,88,83,107)	14	10.jpg
10	saltshaker	(12,164,37,47)	26	10.jpg
11	table	(0,112,101,142)	29	11.jpg
11	stove	(103,112,154,123)	30	11.jpg
11	ham	(59,172,33,37)	12	11.jpg
11	bowl	(61,108,42,42)	17	11.jpg
11	knife	(32,104,27,68)	22	11.jpg
11	cutting_board	(7,112,55,61)	19	11.jpg
