Frame:	Label:	Points:	Bounding Box ID:	Frame path: data7/ham-egg/
0	shell_egg	(73,204,24,23)	7	0.jpg
0	ham	(57,164,35,33)	12	0.jpg
0	frying_pan	(100,87,83,102)	14	0.jpg
0	pan_lid	(78,219,135,38)	16	0.jpg
0	table	(0,112,101,142)	29	0.jpg
0	stove	(103,112,154,123)	30	0.jpg
0	bowl	(48,101,42,41)	17	0.jpg
0	cutting_board	(6,112,53,61)	19	0.jpg
0	shell_egg	(72,218,24,24)	7	0.jpg
0	knife	(24,102,25,69)	22	0.jpg
0	saltshaker	(13,159,38,55)	26	0.jpg
0	spoon	(23,180,19,27)	27	0.jpg
1	shell_egg	(73,204,24,23)	7	1.jpg
1	ham	(57,164,35,33)	12	1.jpg
1	frying_pan	(100,87,83,102)	14	1.jpg
1	pan_lid	(78,219,135,38)	16	1.jpg
1	table	(0,112,101,142)	29	1.jpg
1	stove	(103,112,154,123)	30	1.jpg
1	bowl	(48,101,42,41)	17	1.jpg
1	cutting_board	(6,112,53,61)	19	1.jpg
1	shell_egg	(72,218,24,24)	7	1.jpg
1	knife	(24,102,25,69)	22	1.jpg
1	saltshaker	(13,159,38,55)	26	1.jpg
1	spoon	(23,180,19,27)	27	1.jpg
2	shell_egg	(73,204,24,23)	7	2.jpg
2	ham	(57,164,35,33)	12	2.jpg
2	frying_pan	(100,87,83,102)	14	2.jpg
2	pan_lid	(78,219,135,38)	16	2.jpg
2	table	(0,112,101,142)	29	2.jpg
2	stove	(103,112,154,123)	30	2.jpg
2	bowl	(48,101,42,41)	17	2.jpg
2	cutting_board	(6,112,53,61)	19	2.jpg
2	shell_egg	(72,218,24,24)	7	2.jpg
2	knife	(24,102,25,69)	22	2.jpg
2	saltshaker	(13,159,38,55)	26	2.jpg
2	spoon	(23,180,19,27)	27	2.jpg
3	shell_egg	(73,204,24,23)	7	3.jpg
3	ham	(57,164,35,33)	12	3.jpg
3	frying_pan	(100,87,83,102)	14	3.jpg
3	pan_lid	(78,219,135,38)	16	3.jpg
3	table	(0,112,101,142)	29	3.jpg
3	stove	(103,112,154,123)	30	3.jpg
3	bowl	(48,101,42,41)	17	3.jpg
3	cutting_board	(6,112,53,61)	19	3.jpg
3	shell_egg	(72,218,24,24)	7	3.jpg
3	knife	(24,102,25,69)	22	3.jpg
3	saltshaker	(13,159,38,55)	26	3.jpg
3	spoon	(23,180,19,27)	27	3.jpg
4	shell_egg	(73,204,24,23)	7	4.jpg
4	ham	(57,164,35,33)	12	4.jpg
4	frying_pan	(100,87,83,102)	14	4.jpg
4	pan_lid	(78,219,135,38)	16	4.jpg
4	table	(0,112,101,142)	29	4.jpg
4	stove	(103,112,154,123)	30	4.jpg
4	bowl	(48,101,42,41)	17	4.jpg
