Frame:	Label:	Points:	Bounding Box ID:	Frame path: data6/ham-egg/
0	shell_egg	(42,221,24,24)	7	0.jpg
0	ham	(58,168,35,31)	12	0.jpg
0	frying_pan	(97,90,84,103)	14	0.jpg
0	table	(0,112,101,142)	29	0.jpg
0	stove	(103,112,154,123)	30	0.jpg
0	bowl	(49,115,45,44)	17	0.jpg
0	cutting_board	(2,111,58,60)	19	0.jpg
0	knife	(22,102,28,68)	22	0.jpg
0	oil_bottle	(0,145,25,45)	24	0.jpg
0	saltshaker	(14,156,40,56)	26	0.jpg
0	spoon	(24,175,22,26)	27	0.jpg
1	shell_egg	(42,221,24,24)	7	1.jpg
1	ham	(58,168,35,31)	12	1.jpg
1	frying_pan	(97,90,84,103)	14	1.jpg
1	table	(0,112,101,142)	29	1.jpg
1	stove	(103,112,154,123)	30	1.jpg
1	bowl	(49,115,45,44)	17	1.jpg
1	cutting_board	(2,111,58,60)	19	1.jpg
1	knife	(22,102,28,68)	22	1.jpg
1	oil_bottle	(0,145,25,45)	24	1.jpg
1	saltshaker	(14,156,40,56)	26	1.jpg
1	spoon	(24,175,22,26)	27	1.jpg
2	shell_egg	(42,221,24,24)	7	2.jpg
2	ham	(58,168,35,31)	12	2.jpg
2	frying_pan	(97,90,84,103)	14	2.jpg
2	table	(0,112,101,142)	29	2.jpg
2	stove	(103,112,154,123)	30	2.jpg
2	bowl	(49,115,45,44)	17	2.jpg
2	cutting_board	(2,111,58,60)	19	2.jpg
2	knife	(22,102,28,68)	22	2.jpg
2	oil_bottle	(0,145,25,45)	24	2.jpg
2	saltshaker	(14,156,40,56)	26	2.jpg
2	spoon	(24,175,22,26)	27	2.jpg
3	shell_egg	(42,221,24,24)	7	3.jpg
3	ham	(58,168,35,31)	12	3.jpg
3	frying_pan	(97,90,84,103)	14	3.jpg
3	table	(0,112,101,142)	29	3.jpg
3	stove	(103,112,154,123)	30	3.jpg
3	bowl	(49,115,45,44)	17	3.jpg
3	cutting_board	(2,111,58,60)	19	3.jpg
3	knife	(22,102,28,68)	22	3.jpg
3	oil_bottle	(0,145,25,45)	24	3.jpg
3	saltshaker	(14,156,40,56)	26	3.jpg
3	spoon	(24,175,22,26)	27	3.jpg
