Frame:	Label:	Points:	Bounding Box ID:	Frame path: data7/boiled-egg/
0	shell_egg	(10,222,24,23)	7	0.jpg
0	pan	(186,117,71,70)	13	0.jpg
0	pan_handle	(119,89,25,49)	15	0.jpg
0	pan_lid	(200,235,57,22)	16	0.jpg
0	table	(0,112,101,142)	29	0.jpg
0	frying_pan	(98,121,83,77)	14	0.jpg
0	stove	(103,112,154,123)	30	0.jpg
0	bowl	(55,107,44,42)	17	0.jpg
1	shell_egg	(10,222,24,23)	7	1.jpg
1	pan	(186,117,71,70)	13	1.jpg
1	pan_handle	(119,89,25,49)	15	1.jpg
1	pan_lid	(200,235,57,22)	16	1.jpg
1	table	(0,112,101,142)	29	1.jpg
1	frying_pan	(98,121,83,77)	14	1.jpg
1	stove	(103,112,154,123)	30	1.jpg
1	bowl	(55,107,44,42)	17	1.jpg
2	shell_egg	(10,222,24,23)	7	2.jpg
2	pan	(186,117,71,70)	13	2.jpg
2	pan_handle	(119,89,25,49)	15	2.jpg
2	pan_lid	(200,235,57,22)	16	2.jpg
2	table	(0,112,101,142)	29	2.jpg
2	frying_pan	(98,121,83,77)	14	2.jpg
2	stove	(103,112,154,123)	30	2.jpg
2	bowl	(55,107,44,42)	17	2.jpg
3	shell_egg	(10,222,24,23)	7	3.jpg
3	pan	(186,117,71,70)	13	3.jpg
3	pan_handle	(119,89,25,49)	15	3.jpg
3	pan_lid	(200,235,57,22)	16	3.jpg
3	table	(0,112,101,142)	29	3.jpg
3	frying_pan	(98,121,83,77)	14	3.jpg
3	stove	(103,112,154,123)	30	3.jpg
3	bowl	(55,107,44,42)	17	3.jpg
4	shell_egg	(10,222,24,23)	7	4.jpg
4	pan	(186,117,71,70)	13	4.jpg
4	pan_handle	(119,89,25,49)	15	4.jpg
4	pan_lid	(200,235,57,22)	16	4.jpg
4	table	(0,112,101,142)	29	4.jpg
4	frying_pan	(98,121,83,77)	14	4.jpg
4	stove	(103,112,154,123)	30	4.jpg
4	bowl	(55,107,44,42)	17	4.jpg
5	shell_egg	(10,222,24,23)	7	5.jpg
5	pan	(186,117,71,70)	13	5.jpg
5	pan_handle	(119,89,25,49)	15	5.jpg
5	pan_lid	(200,235,57,22)	16	5.jpg
5	table	(0,112,101,142)	29	5.jpg
5	frying_pan	(98,121,83,77)	14	5.jpg
5	stove	(103,112,154,123)	30	5.jpg
5	bowl	(55,107,44,42)	17	5.jpg
6	shell_egg	(10,222,24,23)	7	6.jpg
6	pan	(186,117,71,70)	13	6.jpg
6	pan_handle	(119,89,25,49)	15	6.jpg
6	pan_lid	(200,235,57,22)	16	6.jpg
6	table	(0,112,101,142)	29	6.jpg
6	frying_pan	(98,121,83,77)	14	6.jpg
6	stove	(103,112,154,123)	30	6.jpg
6	bowl	(55,107,44,42)	17	6.jpg
7	shell_egg	(10,222,24,23)	7	7.jpg
7	pan	(186,117,71,70)	13	7.jpg
7	pan_handle	(119,89,25,49)	15	7.jpg
7	pan_lid	(200,235,57,22)	16	7.jpg
7	table	(0,112,101,142)	29	7.jpg
7	frying_pan	(98,121,83,77)	14	7.jpg
7	stove	(103,112,154,123)	30	7.jpg
7	bowl	(55,107,44,42)	17	7.jpg
8	shell_egg	(10,222,24,23)	7	8.jpg
8	pan	(186,117,71,70)	13	8.jpg
8	pan_handle	(119,89,25,49)	15	8.jpg
8	pan_lid	(200,235,57,22)	16	8.jpg
8	table	(0,112,101,142)	29	8.jpg
8	frying_pan	(98,121,83,77)	14	8.jpg
8	stove	(103,112,154,123)	30	8.jpg
8	bowl	(55,107,44,42)	17	8.jpg
9	shell_egg	(10,222,24,23)	7	9.jpg
9	pan	(186,117,71,70)	13	9.jpg
9	pan_handle	(119,89,25,49)	15	9.jpg
9	pan_lid	(200,235,57,22)	16	9.jpg
9	table	(0,112,101,142)	29	9.jpg
9	frying_pan	(98,121,83,77)	14	9.jpg
9	stove	(103,112,154,123)	30	9.jpg
9	bowl	(55,107,44,42)	17	9.jpg
10	shell_egg	(10,222,24,23)	7	10.jpg
10	pan	(186,117,71,70)	13	10.jpg
10	pan_handle	(119,89,25,49)	15	10.jpg
10	pan_lid	(200,235,57,22)	16	10.jpg
10	table	(0,112,101,142)	29	10.jpg
10	frying_pan	(98,121,83,77)	14	10.jpg
10	stove	(103,112,154,123)	30	10.jpg
10	bowl	(55,107,44,42)	17	10.jpg
11	shell_egg	(10,222,24,23)	7	11.jpg
11	pan	(186,117,71,70)	13	11.jpg
11	pan_handle	(119,89,25,49)	15	11.jpg
11	pan_lid	(200,235,57,22)	16	11.jpg
11	table	(0,112,101,142)	29	11.jpg
11	frying_pan	(98,121,83,77)	14	11.jpg
11	stove	(103,112,154,123)	30	11.jpg
11	bowl	(55,107,44,42)	17	11.jpg
12	shell_egg	(10,222,24,23)	7	12.jpg
12	pan	(186,117,71,70)	13	12.jpg
12	pan_handle	(119,89,25,49)	15	12.jpg
12	pan_lid	(200,235,57,22)	16	12.jpg
12	table	(0,112,101,142)	29	12.jpg
12	frying_pan	(98,121,83,77)	14	12.jpg
12	stove	(103,112,154,123)	30	12.jpg
12	bowl	(55,107,44,42)	17	12.jpg
13	shell_egg	(10,222,24,23)	7	13.jpg
13	pan	(186,117,71,70)	13	13.jpg
13	pan_handle	(119,89,25,49)	15	13.jpg
13	pan_lid	(200,235,57,22)	16	13.jpg
13	table	(0,112,101,142)	29	13.jpg
13	frying_pan	(98,121,83,77)	14	13.jpg
13	stove	(103,112,154,123)	30	13.jpg
13	bowl	(55,107,44,42)	17	13.jpg
14	shell_egg	(10,222,24,23)	7	14.jpg
14	pan	(186,117,71,70)	13	14.jpg
14	pan_handle	(119,89,25,49)	15	14.jpg
14	pan_lid	(200,235,57,22)	16	14.jpg
14	table	(0,112,101,142)	29	14.jpg
14	frying_pan	(98,121,83,77)	14	14.jpg
14	stove	(103,112,154,123)	30	14.jpg
14	bowl	(55,107,44,42)	17	14.jpg
15	shell_egg	(10,222,24,23)	7	15.jpg
15	pan	(186,117,71,70)	13	15.jpg
15	pan_handle	(119,89,25,49)	15	15.jpg
15	pan_lid	(200,235,57,22)	16	15.jpg
15	table	(0,112,101,142)	29	15.jpg
15	frying_pan	(98,121,83,77)	14	15.jpg
15	stove	(103,112,154,123)	30	15.jpg
15	bowl	(55,107,44,42)	17	15.jpg
16	shell_egg	(10,222,24,23)	7	16.jpg
16	pan	(186,117,71,70)	13	16.jpg
16	pan_handle	(119,89,25,49)	15	16.jpg
16	pan_lid	(200,235,57,22)	16	16.jpg
16	table	(0,112,101,142)	29	16.jpg
16	frying_pan	(98,121,83,77)	14	16.jpg
16	stove	(103,112,154,123)	30	16.jpg
16	bowl	(55,107,44,42)	17	16.jpg
17	shell_egg	(10,222,24,23)	7	17.jpg
17	pan	(186,117,71,70)	13	17.jpg
17	pan_handle	(119,89,25,49)	15	17.jpg
17	pan_lid	(200,235,57,22)	16	17.jpg
17	table	(0,112,101,142)	29	17.jpg
17	frying_pan	(98,121,83,77)	14	17.jpg
17	stove	(103,112,154,123)	30	17.jpg
17	bowl	(55,107,44,42)	17	17.jpg
18	shell_egg	(10,222,24,23)	7	18.jpg
18	pan	(186,117,71,70)	13	18.jpg
18	pan_handle	(119,89,25,49)	15	18.jpg
18	pan_lid	(200,235,57,22)	16	18.jpg
18	table	(0,112,101,142)	29	18.jpg
18	frying_pan	(98,121,83,77)	14	18.jpg
18	stove	(103,112,154,123)	30	18.jpg
18	bowl	(55,107,44,42)	17	18.jpg
19	shell_egg	(10,222,24,23)	7	19.jpg
19	pan	(186,117,71,70)	13	19.jpg
19	pan_handle	(119,89,25,49)	15	19.jpg
19	pan_lid	(200,235,57,22)	16	19.jpg
19	table	(0,112,101,142)	29	19.jpg
19	frying_pan	(98,121,83,77)	14	19.jpg
19	stove	(103,112,154,123)	30	19.jpg
19	bowl	(55,107,44,42)	17	19.jpg
20	shell_egg	(10,222,24,23)	7	20.jpg
20	pan	(186,117,71,70)	13	20.jpg
20	pan_handle	(119,89,25,49)	15	20.jpg
20	pan_lid	(200,235,57,22)	16	20.jpg
20	table	(0,112,101,142)	29	20.jpg
20	frying_pan	(98,121,83,77)	14	20.jpg
20	stove	(103,112,154,123)	30	20.jpg
20	bowl	(55,107,44,42)	17	20.jpg
21	shell_egg	(10,222,24,23)	7	21.jpg
21	pan	(186,117,71,70)	13	21.jpg
21	pan_handle	(119,89,25,49)	15	21.jpg
21	pan_lid	(200,235,57,22)	16	21.jpg
21	table	(0,112,101,142)	29	21.jpg
21	frying_pan	(98,121,83,77)	14	21.jpg
21	stove	(103,112,154,123)	30	21.jpg
21	bowl	(55,107,44,42)	17	21.jpg
22	shell_egg	(10,222,24,23)	7	22.jpg
22	pan	(186,117,71,70)	13	22.jpg
22	pan_handle	(119,89,25,49)	15	22.jpg
22	pan_lid	(200,235,57,22)	16	22.jpg
22	table	(0,112,101,142)	29	22.jpg
22	frying_pan	(98,121,83,77)	14	22.jpg
22	stove	(103,112,154,123)	30	22.jpg
22	bowl	(55,107,44,42)	17	22.jpg
23	shell_egg	(10,222,24,23)	7	23.jpg
23	pan	(186,117,71,70)	13	23.jpg
23	pan_handle	(119,89,25,49)	15	23.jpg
23	pan_lid	(200,235,57,22)	16	23.jpg
23	table	(0,112,101,142)	29	23.jpg
23	frying_pan	(98,121,83,77)	14	23.jpg
23	stove	(103,112,154,123)	30	23.jpg
23	bowl	(55,107,44,42)	17	23.jpg
24	shell_egg	(10,222,24,23)	7	24.jpg
24	pan	(186,117,71,70)	13	24.jpg
24	pan_handle	(119,89,25,49)	15	24.jpg
24	pan_lid	(200,235,57,22)	16	24.jpg
24	table	(0,112,101,142)	29	24.jpg
24	frying_pan	(98,121,83,77)	14	24.jpg
24	stove	(103,112,154,123)	30	24.jpg
24	bowl	(55,107,44,42)	17	24.jpg
25	shell_egg	(10,222,24,23)	7	25.jpg
25	pan	(186,117,71,70)	13	25.jpg
25	pan_handle	(119,89,25,49)	15	25.jpg
25	pan_lid	(200,235,57,22)	16	25.jpg
25	table	(0,112,101,142)	29	25.jpg
25	frying_pan	(98,121,83,77)	14	25.jpg
25	stove	(103,112,154,123)	30	25.jpg
25	bowl	(55,107,44,42)	17	25.jpg
26	shell_egg	(10,222,24,23)	7	26.jpg
26	pan	(186,117,71,70)	13	26.jpg
26	pan_handle	(119,89,25,49)	15	26.jpg
26	pan_lid	(200,235,57,22)	16	26.jpg
26	table	(0,112,101,142)	29	26.jpg
26	frying_pan	(98,121,83,77)	14	26.jpg
26	stove	(103,112,154,123)	30	26.jpg
26	bowl	(55,107,44,42)	17	26.jpg
27	shell_egg	(10,222,24,23)	7	27.jpg
27	pan	(186,117,71,70)	13	27.jpg
27	pan_handle	(119,89,25,49)	15	27.jpg
27	pan_lid	(200,235,57,22)	16	27.jpg
27	table	(0,112,101,142)	29	27.jpg
27	frying_pan	(98,121,83,77)	14	27.jpg
27	stove	(103,112,154,123)	30	27.jpg
27	bowl	(55,107,44,42)	17	27.jpg
28	shell_egg	(10,222,24,23)	7	28.jpg
28	pan	(186,117,71,70)	13	28.jpg
28	pan_handle	(119,89,25,49)	15	28.jpg
28	pan_lid	(200,235,57,22)	16	28.jpg
28	table	(0,112,101,142)	29	28.jpg
28	frying_pan	(98,121,83,77)	14	28.jpg
28	stove	(103,112,154,123)	30	28.jpg
28	bowl	(55,107,44,42)	17	28.jpg
29	shell_egg	(10,222,24,23)	7	29.jpg
29	pan	(186,117,71,70)	13	29.jpg
29	pan_handle	(119,89,25,49)	15	29.jpg
29	pan_lid	(200,235,57,22)	16	29.jpg
29	table	(0,112,101,142)	29	29.jpg
29	frying_pan	(98,121,83,77)	14	29.jpg
29	stove	(103,112,154,123)	30	29.jpg
29	bowl	(55,107,44,42)	17	29.jpg
30	shell_egg	(10,222,24,23)	7	30.jpg
30	pan	(186,117,71,70)	13	30.jpg
30	pan_handle	(119,89,25,49)	15	30.jpg
30	pan_lid	(200,235,57,22)	16	30.jpg
30	table	(0,112,101,142)	29	30.jpg
30	frying_pan	(98,121,83,77)	14	30.jpg
30	stove	(103,112,154,123)	30	30.jpg
30	bowl	(55,107,44,42)	17	30.jpg
31	shell_egg	(10,222,24,23)	7	31.jpg
31	pan	(186,117,71,70)	13	31.jpg
31	pan_handle	(119,89,25,49)	15	31.jpg
31	pan_lid	(200,235,57,22)	16	31.jpg
31	table	(0,112,101,142)	29	31.jpg
31	frying_pan	(98,121,83,77)	14	31.jpg
31	stove	(103,112,154,123)	30	31.jpg
31	bowl	(55,107,44,42)	17	31.jpg
32	shell_egg	(10,222,24,23)	7	32.jpg
32	pan	(186,117,71,70)	13	32.jpg
32	pan_handle	(119,89,25,49)	15	32.jpg
32	pan_lid	(200,235,57,22)	16	32.jpg
32	table	(0,112,101,142)	29	32.jpg
32	frying_pan	(98,121,83,77)	14	32.jpg
32	stove	(103,112,154,123)	30	32.jpg
32	bowl	(55,107,44,42)	17	32.jpg
33	shell_egg	(10,222,24,23)	7	33.jpg
33	pan	(186,117,71,70)	13	33.jpg
33	pan_handle	(119,89,25,49)	15	33.jpg
33	pan_lid	(200,235,57,22)	16	33.jpg
33	table	(0,112,101,142)	29	33.jpg
33	frying_pan	(98,121,83,77)	14	33.jpg
33	stove	(103,112,154,123)	30	33.jpg
33	bowl	(55,107,44,42)	17	33.jpg
34	shell_egg	(10,222,24,23)	7	34.jpg
34	pan	(186,117,71,70)	13	34.jpg
34	pan_handle	(119,89,25,49)	15	34.jpg
34	pan_lid	(200,235,57,22)	16	34.jpg
34	table	(0,112,101,142)	29	34.jpg
34	frying_pan	(98,121,83,77)	14	34.jpg
34	stove	(103,112,154,123)	30	34.jpg
34	bowl	(55,107,44,42)	17	34.jpg
35	shell_egg	(10,222,24,23)	7	35.jpg
35	pan	(186,117,71,70)	13	35.jpg
35	pan_handle	(119,89,25,49)	15	35.jpg
35	pan_lid	(200,235,57,22)	16	35.jpg
35	table	(0,112,101,142)	29	35.jpg
35	frying_pan	(98,121,83,77)	14	35.jpg
35	stove	(103,112,154,123)	30	35.jpg
35	bowl	(55,107,44,42)	17	35.jpg
36	shell_egg	(10,222,24,23)	7	36.jpg
36	pan	(186,117,71,70)	13	36.jpg
36	pan_handle	(119,89,25,49)	15	36.jpg
36	pan_lid	(200,235,57,22)	16	36.jpg
36	table	(0,112,101,142)	29	36.jpg
36	frying_pan	(98,121,83,77)	14	36.jpg
36	stove	(103,112,154,123)	30	36.jpg
36	bowl	(55,107,44,42)	17	36.jpg
37	shell_egg	(10,222,24,23)	7	37.jpg
37	pan	(186,117,71,70)	13	37.jpg
37	pan_handle	(119,89,25,49)	15	37.jpg
37	pan_lid	(200,235,57,22)	16	37.jpg
37	table	(0,112,101,142)	29	37.jpg
37	frying_pan	(98,121,83,77)	14	37.jpg
37	stove	(103,112,154,123)	30	37.jpg
37	bowl	(55,107,44,42)	17	37.jpg
38	shell_egg	(10,222,24,23)	7	38.jpg
38	pan	(186,117,71,70)	13	38.jpg
38	pan_handle	(119,89,25,49)	15	38.jpg
38	pan_lid	(200,235,57,22)	16	38.jpg
38	table	(0,112,101,142)	29	38.jpg
38	frying_pan	(98,121,83,77)	14	38.jpg
38	stove	(103,112,154,123)	30	38.jpg
38	bowl	(55,107,44,42)	17	38.jpg
39	shell_egg	(10,222,24,23)	7	39.jpg
39	pan	(186,117,71,70)	13	39.jpg
39	pan_handle	(119,89,25,49)	15	39.jpg
39	pan_lid	(200,235,57,22)	16	39.jpg
39	table	(0,112,101,142)	29	39.jpg
39	frying_pan	(98,121,83,77)	14	39.jpg
