Frame:	Label:	Points:	Bounding Box ID:	Frame path: data3/ham-egg/
0	table	(0,112,101,142)	29	0.jpg
0	stove	(103,112,154,123)	30	0.jpg
0	shell_egg	(14,233,20,20)	7	0.jpg
0	ham	(66,173,34,32)	12	0.jpg
0	bowl	(54,123,46,44)	17	0.jpg
0	cutting_board	(8,112,58,61)	19	0.jpg
0	knife	(31,103,30,76)	22	0.jpg
0	saltshaker	(22,165,40,55)	26	0.jpg
0	glass	(0,183,26,35)	21	0.jpg
0	frying_pan	(99,87,84,103)	14	0.jpg
0	spoon	(34,175,20,36)	27	0.jpg
1	table	(0,112,101,142)	29	1.jpg
1	stove	(103,112,154,123)	30	1.jpg
1	shell_egg	(14,233,20,20)	7	1.jpg
1	ham	(66,173,34,32)	12	1.jpg
1	bowl	(54,123,46,44)	17	1.jpg
1	cutting_board	(8,112,58,61)	19	1.jpg
1	knife	(31,103,30,76)	22	1.jpg
1	saltshaker	(22,165,40,55)	26	1.jpg
1	glass	(0,183,26,35)	21	1.jpg
1	frying_pan	(99,87,84,103)	14	1.jpg
1	spoon	(34,175,20,36)	27	1.jpg
2	table	(0,112,101,142)	29	2.jpg
2	stove	(103,112,154,123)	30	2.jpg
2	shell_egg	(14,233,20,20)	7	2.jpg
2	ham	(66,173,34,32)	12	2.jpg
2	bowl	(54,123,46,44)	17	2.jpg
2	cutting_board	(8,112,58,61)	19	2.jpg
2	knife	(31,103,30,76)	22	2.jpg
2	saltshaker	(22,165,40,55)	26	2.jpg
2	glass	(0,183,26,35)	21	2.jpg
2	frying_pan	(99,87,84,103)	14	2.jpg
2	spoon	(34,175,20,36)	27	2.jpg
3	table	(0,112,101,142)	29	3.jpg
3	stove	(103,112,154,123)	30	3.jpg
3	shell_egg	(14,233,20,20)	7	3.jpg
3	ham	(66,173,34,32)	12	3.jpg
3	bowl	(54,123,46,44)	17	3.jpg
3	cutting_board	(8,112,58,61)	19	3.jpg
3	knife	(31,103,30,76)	22	3.jpg
3	saltshaker	(22,165,40,55)	26	3.jpg
3	glass	(0,183,26,35)	21	3.jpg
3	frying_pan	(99,87,84,103)	14	3.jpg
3	spoon	(34,175,20,36)	27	3.jpg
4	table	(0,112,101,142)	29	4.jpg
4	stove	(103,112,154,123)	30	4.jpg
4	shell_egg	(14,233,20,20)	7	4.jpg
4	ham	(66,173,34,32)	12	4.jpg
4	bowl	(54,123,46,44)	17	4.jpg
4	cutting_board	(8,112,58,61)	19	4.jpg
4	knife	(31,103,30,76)	22	4.jpg
4	saltshaker	(22,165,40,55)	26	4.jpg
4	glass	(0,183,26,35)	21	4.jpg
4	frying_pan	(99,87,84,103)	14	4.jpg
4	spoon	(34,175,20,36)	27	4.jpg
5	table	(0,112,101,142)	29	5.jpg
5	stove	(103,112,154,123)	30	5.jpg
5	shell_egg	(14,233,20,20)	7	5.jpg
5	ham	(66,173,34,32)	12	5.jpg
5	bowl	(54,123,46,44)	17	5.jpg
5	cutting_board	(8,112,58,61)	19	5.jpg
5	knife	(31,103,30,76)	22	5.jpg
5	saltshaker	(22,165,40,55)	26	5.jpg
5	glass	(0,183,26,35)	21	5.jpg
5	frying_pan	(99,87,84,103)	14	5.jpg
5	spoon	(34,175,20,36)	27	5.jpg
6	table	(0,112,101,142)	29	6.jpg
6	stove	(103,112,154,123)	30	6.jpg
6	shell_egg	(14,233,20,20)	7	6.jpg
6	ham	(66,173,34,32)	12	6.jpg
6	bowl	(54,123,46,44)	17	6.jpg
6	cutting_board	(8,112,58,61)	19	6.jpg
6	knife	(31,103,30,76)	22	6.jpg
6	saltshaker	(22,165,40,55)	26	6.jpg
6	glass	(0,183,26,35)	21	6.jpg
6	frying_pan	(99,87,84,103)	14	6.jpg
6	spoon	(34,175,20,36)	27	6.jpg
7	table	(0,112,101,142)	29	7.jpg
7	stove	(103,112,154,123)	30	7.jpg
7	shell_egg	(14,233,20,20)	7	7.jpg
7	ham	(66,173,34,32)	12	7.jpg
7	bowl	(54,123,46,44)	17	7.jpg
7	cutting_board	(8,112,58,61)	19	7.jpg
7	knife	(31,103,30,76)	22	7.jpg
7	saltshaker	(22,165,40,55)	26	7.jpg
7	glass	(0,183,26,35)	21	7.jpg
7	frying_pan	(99,87,84,103)	14	7.jpg
7	spoon	(34,175,20,36)	27	7.jpg
8	table	(0,112,101,142)	29	8.jpg
8	stove	(103,112,154,123)	30	8.jpg
8	shell_egg	(14,233,20,20)	7	8.jpg
8	ham	(66,173,34,32)	12	8.jpg
8	bowl	(54,123,46,44)	17	8.jpg
8	cutting_board	(8,112,58,61)	19	8.jpg
8	knife	(31,103,30,76)	22	8.jpg
8	saltshaker	(22,165,40,55)	26	8.jpg
8	glass	(0,183,26,35)	21	8.jpg
8	frying_pan	(99,87,84,103)	14	8.jpg
8	spoon	(34,175,20,36)	27	8.jpg
9	table	(0,112,101,142)	29	9.jpg
9	stove	(103,112,154,123)	30	9.jpg
9	shell_egg	(14,233,20,20)	7	9.jpg
9	ham	(66,173,34,32)	12	9.jpg
9	bowl	(54,123,46,44)	17	9.jpg
9	cutting_board	(8,112,58,61)	19	9.jpg
9	knife	(31,103,30,76)	22	9.jpg
