Frame:	Label:	Points:	Bounding Box ID:	Frame path: data6/scrambled-egg/
0	shell_egg	(60,211,23,23)	7	0.jpg
0	ham	(52,183,33,34)	12	0.jpg
0	pan	(185,118,71,71)	13	0.jpg
0	frying_pan	(97,86,84,107)	14	0.jpg
0	bowl	(54,122,47,45)	17	0.jpg
0	cutting_board	(7,111,60,62)	19	0.jpg
0	knife	(22,102,40,70)	22	0.jpg
0	oil_bottle	(0,154,27,47)	24	0.jpg
0	table	(0,112,101,142)	29	0.jpg
0	stove	(103,112,154,123)	30	0.jpg
0	saltshaker	(16,156,40,54)	26	0.jpg
0	spoon	(26,171,24,33)	27	0.jpg
1	shell_egg	(60,211,23,23)	7	1.jpg
1	ham	(52,183,33,34)	12	1.jpg
1	pan	(185,118,71,71)	13	1.jpg
1	frying_pan	(97,86,84,107)	14	1.jpg
1	bowl	(54,122,47,45)	17	1.jpg
1	cutting_board	(7,111,60,62)	19	1.jpg
1	knife	(22,102,40,70)	22	1.jpg
1	oil_bottle	(0,154,27,47)	24	1.jpg
1	table	(0,112,101,142)	29	1.jpg
1	stove	(103,112,154,123)	30	1.jpg
1	saltshaker	(16,156,40,54)	26	1.jpg
1	spoon	(26,171,24,33)	27	1.jpg
2	shell_egg	(60,211,23,23)	7	2.jpg
2	ham	(52,183,33,34)	12	2.jpg
2	pan	(185,118,71,71)	13	2.jpg
2	frying_pan	(97,86,84,107)	14	2.jpg
2	bowl	(54,122,47,45)	17	2.jpg
2	cutting_board	(7,111,60,62)	19	2.jpg
2	knife	(22,102,40,70)	22	2.jpg
2	oil_bottle	(0,154,27,47)	24	2.jpg
2	table	(0,112,101,142)	29	2.jpg
2	stove	(103,112,154,123)	30	2.jpg
2	saltshaker	(16,156,40,54)	26	2.jpg
2	spoon	(26,171,24,33)	27	2.jpg
3	shell_egg	(60,211,23,23)	7	3.jpg
3	ham	(52,183,33,34)	12	3.jpg
3	pan	(185,118,71,71)	13	3.jpg
3	frying_pan	(97,86,84,107)	14	3.jpg
3	bowl	(54,122,47,45)	17	3.jpg
3	cutting_board	(7,111,60,62)	19	3.jpg
3	knife	(22,102,40,70)	22	3.jpg
3	oil_bottle	(0,154,27,47)	24	3.jpg
3	table	(0,112,101,142)	29	3.jpg
3	stove	(103,112,154,123)	30	3.jpg
3	saltshaker	(16,156,40,54)	26	3.jpg
3	spoon	(26,171,24,33)	27	3.jpg
4	shell_egg	(60,211,23,23)	7	4.jpg
4	ham	(52,183,33,34)	12	4.jpg
4	pan	(185,118,71,71)	13	4.jpg
4	frying_pan	(97,86,84,107)	14	4.jpg
4	bowl	(54,122,47,45)	17	4.jpg
4	cutting_board	(7,111,60,62)	19	4.jpg
4	knife	(22,102,40,70)	22	4.jpg
4	oil_bottle	(0,154,27,47)	24	4.jpg
4	table	(0,112,101,142)	29	4.jpg
4	stove	(103,112,154,123)	30	4.jpg
4	saltshaker	(16,156,40,54)	26	4.jpg
4	spoon	(26,171,24,33)	27	4.jpg
5	shell_egg	(60,211,23,23)	7	5.jpg
5	ham	(52,183,33,34)	12	5.jpg
5	pan	(185,118,71,71)	13	5.jpg
5	frying_pan	(97,86,84,107)	14	5.jpg
5	bowl	(54,122,47,45)	17	5.jpg
5	cutting_board	(7,111,60,62)	19	5.jpg
5	knife	(22,102,40,70)	22	5.jpg
5	oil_bottle	(0,154,27,47)	24	5.jpg
5	table	(0,112,101,142)	29	5.jpg
5	stove	(103,112,154,123)	30	5.jpg
5	saltshaker	(16,156,40,54)	26	5.jpg
5	spoon	(26,171,24,33)	27	5.jpg
6	shell_egg	(60,211,23,23)	7	6.jpg
6	ham	(52,183,33,34)	12	6.jpg
6	pan	(185,118,71,71)	13	6.jpg
6	frying_pan	(97,86,84,107)	14	6.jpg
6	bowl	(54,122,47,45)	17	6.jpg
6	cutting_board	(7,111,60,62)	19	6.jpg
6	knife	(22,102,40,70)	22	6.jpg
6	oil_bottle	(0,154,27,47)	24	6.jpg
6	table	(0,112,101,142)	29	6.jpg
6	stove	(103,112,154,123)	30	6.jpg
6	saltshaker	(16,156,40,54)	26	6.jpg
6	spoon	(26,171,24,33)	27	6.jpg
7	shell_egg	(60,211,23,23)	7	7.jpg
7	ham	(52,183,33,34)	12	7.jpg
7	pan	(185,118,71,71)	13	7.jpg
7	frying_pan	(97,86,84,107)	14	7.jpg
7	bowl	(54,122,47,45)	17	7.jpg
7	cutting_board	(7,111,60,62)	19	7.jpg
7	knife	(22,102,40,70)	22	7.jpg
7	oil_bottle	(0,154,27,47)	24	7.jpg
7	table	(0,112,101,142)	29	7.jpg
7	stove	(103,112,154,123)	30	7.jpg
7	saltshaker	(16,156,40,54)	26	7.jpg
7	spoon	(26,171,24,33)	27	7.jpg
8	shell_egg	(60,211,23,23)	7	8.jpg
8	ham	(52,183,33,34)	12	8.jpg
8	pan	(185,118,71,71)	13	8.jpg
8	frying_pan	(97,86,84,107)	14	8.jpg
8	bowl	(54,122,47,45)	17	8.jpg
8	cutting_board	(7,111,60,62)	19	8.jpg
8	knife	(22,102,40,70)	22	8.jpg
8	oil_bottle	(0,154,27,47)	24	8.jpg
8	table	(0,112,101,142)	29	8.jpg
8	stove	(103,112,154,123)	30	8.jpg
8	saltshaker	(16,156,40,54)	26	8.jpg
8	spoon	(26,171,24,33)	27	8.jpg
9	shell_egg	(60,211,23,23)	7	9.jpg
9	ham	(52,183,33,34)	12	9.jpg
9	pan	(185,118,71,71)	13	9.jpg
9	frying_pan	(97,86,84,107)	14	9.jpg
9	bowl	(54,122,47,45)	17	9.jpg
9	cutting_board	(7,111,60,62)	19	9.jpg
9	knife	(22,102,40,70)	22	9.jpg
