Frame:	Label:	Points:	Bounding Box ID:	Frame path: data1/boiled-egg/
0	table	(0,112,101,142)	29	0.jpg
0	stove	(103,112,154,123)	30	0.jpg
0	pan	(190,78,67,107)	13	0.jpg
0	bowl	(56,113,45,40)	17	0.jpg
0	shell_egg	(59,208,20,21)	7	0.jpg
1	table	(0,112,101,142)	29	1.jpg
1	stove	(103,112,154,123)	30	1.jpg
1	pan	(190,78,67,107)	13	1.jpg
1	bowl	(56,113,45,40)	17	1.jpg
1	shell_egg	(59,208,20,21)	7	1.jpg
2	table	(0,112,101,142)	29	2.jpg
2	stove	(103,112,154,123)	30	2.jpg
2	pan	(190,78,67,107)	13	2.jpg
2	bowl	(56,113,45,40)	17	2.jpg
2	shell_egg	(59,208,20,21)	7	2.jpg
3	table	(0,112,101,142)	29	3.jpg
3	stove	(103,112,154,123)	30	3.jpg
3	pan	(190,78,67,107)	13	3.jpg
3	bowl	(56,113,45,40)	17	3.jpg
3	shell_egg	(59,208,20,21)	7	3.jpg
4	table	(0,112,101,142)	29	4.jpg
4	stove	(103,112,154,123)	30	4.jpg
4	pan	(190,78,67,107)	13	4.jpg
4	bowl	(56,113,45,40)	17	4.jpg
4	shell_egg	(59,208,20,21)	7	4.jpg
5	table	(0,112,101,142)	29	5.jpg
5	stove	(103,112,154,123)	30	5.jpg
5	pan	(190,78,67,107)	13	5.jpg
5	bowl	(56,113,45,40)	17	5.jpg
5	shell_egg	(59,208,20,21)	7	5.jpg
6	table	(0,112,101,142)	29	6.jpg
6	stove	(103,112,154,123)	30	6.jpg
6	pan	(190,78,67,107)	13	6.jpg
6	bowl	(56,113,45,40)	17	6.jpg
6	shell_egg	(59,208,20,21)	7	6.jpg
7	table	(0,112,101,142)	29	7.jpg
7	stove	(103,112,154,123)	30	7.jpg
7	pan	(190,78,67,107)	13	7.jpg
7	bowl	(56,113,45,40)	17	7.jpg
7	shell_egg	(59,208,20,21)	7	7.jpg
8	table	(0,112,101,142)	29	8.jpg
8	stove	(103,112,154,123)	30	8.jpg
8	pan	(190,78,67,107)	13	8.jpg
8	bowl	(56,113,45,40)	17	8.jpg
8	shell_egg	(59,208,20,21)	7	8.jpg
9	table	(0,112,101,142)	29	9.jpg
9	stove	(103,112,154,123)	30	9.jpg
9	pan	(190,78,67,107)	13	9.jpg
9	bowl	(56,113,45,40)	17	9.jpg
9	shell_egg	(59,208,20,21)	7	9.jpg
10	table	(0,112,101,142)	29	10.jpg
10	stove	(103,112,154,123)	30	10.jpg
10	pan	(190,78,67,107)	13	10.jpg
10	bowl	(56,113,45,40)	17	10.jpg
10	shell_egg	(59,208,20,21)	7	10.jpg
11	table	(0,112,101,142)	29	11.jpg
11	stove	(103,112,154,123)	30	11.jpg
11	pan	(190,78,67,107)	13	11.jpg
11	bowl	(56,113,45,40)	17	11.jpg
11	shell_egg	(59,208,20,21)	7	11.jpg
12	table	(0,112,101,142)	29	12.jpg
12	stove	(103,112,154,123)	30	12.jpg
12	pan	(190,78,67,107)	13	12.jpg
12	bowl	(56,113,45,40)	17	12.jpg
12	shell_egg	(59,208,20,21)	7	12.jpg
13	table	(0,112,101,142)	29	13.jpg
13	stove	(103,112,154,123)	30	13.jpg
13	pan	(190,78,67,107)	13	13.jpg
13	bowl	(56,113,45,40)	17	13.jpg
13	shell_egg	(59,208,20,21)	7	13.jpg
14	table	(0,112,101,142)	29	14.jpg
14	stove	(103,112,154,123)	30	14.jpg
14	pan	(190,78,67,107)	13	14.jpg
14	bowl	(56,113,45,40)	17	14.jpg
14	shell_egg	(59,208,20,21)	7	14.jpg
15	table	(0,112,101,142)	29	15.jpg
15	stove	(103,112,154,123)	30	15.jpg
15	pan	(190,78,67,107)	13	15.jpg
15	bowl	(56,113,45,40)	17	15.jpg
15	shell_egg	(59,208,20,21)	7	15.jpg
16	table	(0,112,101,142)	29	16.jpg
16	stove	(103,112,154,123)	30	16.jpg
16	pan	(190,78,67,107)	13	16.jpg
16	bowl	(56,113,45,40)	17	16.jpg
16	shell_egg	(59,208,20,21)	7	16.jpg
17	table	(0,112,101,142)	29	17.jpg
17	stove	(103,112,154,123)	30	17.jpg
17	pan	(190,78,67,107)	13	17.jpg
17	bowl	(56,113,45,40)	17	17.jpg
17	shell_egg	(59,208,20,21)	7	17.jpg
18	table	(0,112,101,142)	29	18.jpg
18	stove	(103,112,154,123)	30	18.jpg
18	pan	(190,78,67,107)	13	18.jpg
18	bowl	(56,113,45,40)	17	18.jpg
18	shell_egg	(59,208,20,21)	7	18.jpg
19	table	(0,112,101,142)	29	19.jpg
19	stove	(103,112,154,123)	30	19.jpg
19	pan	(190,78,67,107)	13	19.jpg
19	bowl	(56,113,45,40)	17	19.jpg
19	shell_egg	(59,208,20,21)	7	19.jpg
20	table	(0,112,101,142)	29	20.jpg
20	stove	(103,112,154,123)	30	20.jpg
20	pan	(190,78,67,107)	13	20.jpg
20	bowl	(56,113,45,40)	17	20.jpg
20	shell_egg	(59,208,20,21)	7	20.jpg
21	table	(0,112,101,142)	29	21.jpg
21	stove	(103,112,154,123)	30	21.jpg
21	pan	(190,78,67,107)	13	21.jpg
