Frame:	Label:	Points:	Bounding Box ID:	Frame path: data4/scrambled-egg/
0	table	(0,112,101,142)	29	0.jpg
0	stove	(103,112,154,123)	30	0.jpg
0	frying_pan	(100,88,83,103)	14	0.jpg
0	cutting_board	(4,115,58,64)	19	0.jpg
0	bowl	(49,118,44,42)	17	0.jpg
0	shell_egg	(58,224,23,22)	7	0.jpg
0	milk_carton	(0,217,21,35)	23	0.jpg
0	saltshaker	(20,170,38,58)	26	0.jpg
0	spoon	(36,185,18,34)	27	0.jpg
0	oil_bottle	(0,171,17,36)	24	0.jpg
1	table	(0,112,101,142)	29	1.jpg
1	stove	(103,112,154,123)	30	1.jpg
1	frying_pan	(100,88,83,103)	14	1.jpg
1	cutting_board	(4,115,58,64)	19	1.jpg
1	bowl	(49,118,44,42)	17	1.jpg
1	shell_egg	(58,224,23,22)	7	1.jpg
1	milk_carton	(0,217,21,35)	23	1.jpg
1	saltshaker	(20,170,38,58)	26	1.jpg
1	spoon	(36,185,18,34)	27	1.jpg
1	oil_bottle	(0,171,17,36)	24	1.jpg
2	table	(0,112,101,142)	29	2.jpg
2	stove	(103,112,154,123)	30	2.jpg
2	frying_pan	(100,88,83,103)	14	2.jpg
2	cutting_board	(4,115,58,64)	19	2.jpg
2	bowl	(49,118,44,42)	17	2.jpg
2	shell_egg	(58,224,23,22)	7	2.jpg
2	milk_carton	(0,217,21,35)	23	2.jpg
2	saltshaker	(20,170,38,58)	26	2.jpg
2	spoon	(36,185,18,34)	27	2.jpg
2	oil_bottle	(0,171,17,36)	24	2.jpg
3	table	(0,112,101,142)	29	3.jpg
3	stove	(103,112,154,123)	30	3.jpg
3	frying_pan	(100,88,83,103)	14	3.jpg
3	cutting_board	(4,115,58,64)	19	3.jpg
3	bowl	(49,118,44,42)	17	3.jpg
3	shell_egg	(58,224,23,22)	7	3.jpg
3	milk_carton	(0,217,21,35)	23	3.jpg
3	saltshaker	(20,170,38,58)	26	3.jpg
3	spoon	(36,185,18,34)	27	3.jpg
3	oil_bottle	(0,171,17,36)	24	3.jpg
4	table	(0,112,101,142)	29	4.jpg
4	stove	(103,112,154,123)	30	4.jpg
4	frying_pan	(100,88,83,103)	14	4.jpg
4	cutting_board	(4,115,58,64)	19	4.jpg
4	bowl	(49,118,44,42)	17	4.jpg
4	shell_egg	(58,224,23,22)	7	4.jpg
4	milk_carton	(0,217,21,35)	23	4.jpg
4	saltshaker	(20,170,38,58)	26	4.jpg
4	spoon	(36,185,18,34)	27	4.jpg
4	oil_bottle	(0,171,17,36)	24	4.jpg
5	table	(0,112,101,142)	29	5.jpg
5	stove	(103,112,154,123)	30	5.jpg
5	frying_pan	(100,88,83,103)	14	5.jpg
5	cutting_board	(4,115,58,64)	19	5.jpg
5	bowl	(49,118,44,42)	17	5.jpg
5	shell_egg	(58,224,23,22)	7	5.jpg
5	milk_carton	(0,217,21,35)	23	5.jpg
5	saltshaker	(20,170,38,58)	26	5.jpg
5	spoon	(36,185,18,34)	27	5.jpg
5	oil_bottle	(0,171,17,36)	24	5.jpg
6	table	(0,112,101,142)	29	6.jpg
6	stove	(103,112,154,123)	30	6.jpg
6	frying_pan	(100,88,83,103)	14	6.jpg
6	cutting_board	(4,115,58,64)	19	6.jpg
6	bowl	(49,118,44,42)	17	6.jpg
6	shell_egg	(58,224,23,22)	7	6.jpg
6	milk_carton	(0,217,21,35)	23	6.jpg
6	saltshaker	(20,170,38,58)	26	6.jpg
6	spoon	(36,185,18,34)	27	6.jpg
6	oil_bottle	(0,171,17,36)	24	6.jpg
7	table	(0,112,101,142)	29	7.jpg
7	stove	(103,112,154,123)	30	7.jpg
7	frying_pan	(100,88,83,103)	14	7.jpg
7	cutting_board	(4,115,58,64)	19	7.jpg
7	bowl	(49,118,44,42)	17	7.jpg
7	shell_egg	(58,224,23,22)	7	7.jpg
7	milk_carton	(0,217,21,35)	23	7.jpg
7	saltshaker	(20,170,38,58)	26	7.jpg
7	spoon	(36,185,18,34)	27	7.jpg
7	oil_bottle	(0,171,17,36)	24	7.jpg
8	table	(0,112,101,142)	29	8.jpg
8	stove	(103,112,154,123)	30	8.jpg
8	frying_pan	(100,88,83,103)	14	8.jpg
8	cutting_board	(4,115,58,64)	19	8.jpg
8	bowl	(49,118,44,42)	17	8.jpg
8	shell_egg	(58,224,23,22)	7	8.jpg
8	milk_carton	(0,217,21,35)	23	8.jpg
8	saltshaker	(20,170,38,58)	26	8.jpg
8	spoon	(36,185,18,34)	27	8.jpg
8	oil_bottle	(0,171,17,36)	24	8.jpg
9	table	(0,112,101,142)	29	9.jpg
9	stove	(103,112,154,123)	30	9.jpg
9	frying_pan	(100,88,83,103)	14	9.jpg
9	cutting_board	(4,115,58,64)	19	9.jpg
9	bowl	(49,118,44,42)	17	9.jpg
9	shell_egg	(58,224,23,22)	7	9.jpg
9	milk_carton	(0,217,21,35)	23	9.jpg
9	saltshaker	(20,170,38,58)	26	9.jpg
9	spoon	(36,185,18,34)	27	9.jpg
9	oil_bottle	(0,171,17,36)	24	9.jpg
10	table	(0,112,101,142)	29	10.jpg
10	stove	(103,112,154,123)	30	10.jpg
