Frame:	Label:	Points:	Bounding Box ID:	Frame path: data2/ham-egg/
0	table	(0,112,101,142)	29	0.jpg
0	stove	(103,112,154,123)	30	0.jpg
0	shell_egg	(73,221,23,21)	7	0.jpg
0	ham	(60,173,35,32)	12	0.jpg
0	frying_pan	(103,117,82,73)	14	0.jpg
0	pan_handle	(200,77,27,55)	15	0.jpg
0	bowl	(55,116,46,42)	17	0.jpg
0	cutting_board	(11,113,58,60)	19	0.jpg
0	knife	(9,109,61,63)	22	0.jpg
0	saltshaker	(19,160,40,56)	26	0.jpg
1	table	(0,112,101,142)	29	1.jpg
1	stove	(103,112,154,123)	30	1.jpg
1	shell_egg	(73,221,23,21)	7	1.jpg
1	ham	(60,173,35,32)	12	1.jpg
1	frying_pan	(103,117,82,73)	14	1.jpg
1	pan_handle	(200,77,27,55)	15	1.jpg
1	bowl	(55,116,46,42)	17	1.jpg
1	cutting_board	(11,113,58,60)	19	1.jpg
1	knife	(9,109,61,63)	22	1.jpg
1	saltshaker	(19,160,40,56)	26	1.jpg
2	table	(0,112,101,142)	29	2.jpg
2	stove	(103,112,154,123)	30	2.jpg
2	shell_egg	(73,221,23,21)	7	2.jpg
2	ham	(60,173,35,32)	12	2.jpg
2	frying_pan	(103,117,82,73)	14	2.jpg
2	pan_handle	(200,77,27,55)	15	2.jpg
2	bowl	(55,116,46,42)	17	2.jpg
2	cutting_board	(11,113,58,60)	19	2.jpg
2	knife	(9,109,61,63)	22	2.jpg
2	saltshaker	(19,160,40,56)	26	2.jpg
3	table	(0,112,101,142)	29	3.jpg
3	stove	(103,112,154,123)	30	3.jpg
3	shell_egg	(73,221,23,21)	7	3.jpg
3	ham	(60,173,35,32)	12	3.jpg
3	frying_pan	(103,117,82,73)	14	3.jpg
3	pan_handle	(200,77,27,55)	15	3.jpg
3	bowl	(55,116,46,42)	17	3.jpg
3	cutting_board	(11,113,58,60)	19	3.jpg
3	knife	(9,109,61,63)	22	3.jpg
3	saltshaker	(19,160,40,56)	26	3.jpg
4	table	(0,112,101,142)	29	4.jpg
4	stove	(103,112,154,123)	30	4.jpg
4	shell_egg	(73,221,23,21)	7	4.jpg
4	ham	(60,173,35,32)	12	4.jpg
4	frying_pan	(103,117,82,73)	14	4.jpg
4	pan_handle	(200,77,27,55)	15	4.jpg
4	bowl	(55,116,46,42)	17	4.jpg
4	cutting_board	(11,113,58,60)	19	4.jpg
4	knife	(9,109,61,63)	22	4.jpg
4	saltshaker	(19,160,40,56)	26	4.jpg
5	table	(0,112,101,142)	29	5.jpg
5	stove	(103,112,154,123)	30	5.jpg
5	shell_egg	(73,221,23,21)	7	5.jpg
5	ham	(60,173,35,32)	12	5.jpg
5	frying_pan	(103,117,82,73)	14	5.jpg
5	pan_handle	(200,77,27,55)	15	5.jpg
5	bowl	(55,116,46,42)	17	5.jpg
5	cutting_board	(11,113,58,60)	19	5.jpg
5	knife	(9,109,61,63)	22	5.jpg
5	saltshaker	(19,160,40,56)	26	5.jpg
6	table	(0,112,101,142)	29	6.jpg
6	stove	(103,112,154,123)	30	6.jpg
6	shell_egg	(73,221,23,21)	7	6.jpg
6	ham	(60,173,35,32)	12	6.jpg
6	frying_pan	(103,117,82,73)	14	6.jpg
6	pan_handle	(200,77,27,55)	15	6.jpg
6	bowl	(55,116,46,42)	17	6.jpg
6	cutting_board	(11,113,58,60)	19	6.jpg
6	knife	(9,109,61,63)	22	6.jpg
6	saltshaker	(19,160,40,56)	26	6.jpg
7	table	(0,112,101,142)	29	7.jpg
7	stove	(103,112,154,123)	30	7.jpg
7	shell_egg	(73,221,23,21)	7	7.jpg
7	ham	(60,173,35,32)	12	7.jpg
7	frying_pan	(103,117,82,73)	14	7.jpg
7	pan_handle	(200,77,27,55)	15	7.jpg
7	bowl	(55,116,46,42)	17	7.jpg
7	cutting_board	(11,113,58,60)	19	7.jpg
7	knife	(9,109,61,63)	22	7.jpg
7	saltshaker	(19,160,40,56)	26	7.jpg
8	table	(0,112,101,142)	29	8.jpg
8	stove	(103,112,154,123)	30	8.jpg
8	shell_egg	(73,221,23,21)	7	8.jpg
8	ham	(60,173,35,32)	12	8.jpg
8	frying_pan	(103,117,82,73)	14	8.jpg
8	pan_handle	(200,77,27,55)	15	8.jpg
8	bowl	(55,116,46,42)	17	8.jpg
8	cutting_board	(11,113,58,60)	19	8.jpg
8	knife	(9,109,61,63)	22	8.jpg
8	saltshaker	(19,160,40,56)	26	8.jpg
9	table	(0,112,101,142)	29	9.jpg
9	stove	(103,112,154,123)	30	9.jpg
9	shell_egg	(73,221,23,21)	7	9.jpg
9	ham	(60,173,35,32)	12	9.jpg
9	frying_pan	(103,117,82,73)	14	9.jpg
9	pan_handle	(200,77,27,55)	15	9.jpg
9	bowl	(55,116,46,42)	17	9.jpg
9	cutting_board	(11,113,58,60)	19	9.jpg
9	knife	(9,109,61,63)	22	9.jpg
9	saltshaker	(19,160,40,56)	26	9.jpg
10	table	(0,112,101,142)	29	10.jpg
10	stove	(103,112,154,123)	30	10.jpg
10	shell_egg	(73,221,23,21)	7	10.jpg
10	ham	(60,173,35,32)	12	10.jpg
